Grade,diff_gray,Xred,Xgreen,Xblue,Sdred,Sdgreen,Sdblue,minred,mingreen,minblue,maxred,maxgreen,maxblue,skewness_red,skewness_green,skewness_blue,kurtosis_red,kurtosis_green,kurtosis_blue,mean_yellow,std_yellow,min_yellow,max_yellow,Xhue,Xsat,Xval,Sdhue,Sdsat,Sdval,minhue,minsat,minval,maxhue,maxsat,maxval,skewness_hue,skewness_sat,skewness_value,kurtosis_hue,kurtosis_saturation,kurtosis_value,XL,Xa,Xb,SdL,Sda,Sdb,minL,mina,minb,maxL,maxa,maxb,skewness_L,skewness_a,skewness_b,kurtosis_L,kurtosis_a,kurtosis_b,autocorr,cluster_prom,cluster_shade,corr,contrast,dissimilarity,energy,entropy,entropy_diff,variance_diff,homogeneity,meas_corr_1,meas_corr_2,inv_diff,max_p,sum_average,sum_entropy,sum_squares,sum_variance
0,0.409148,0.377161,0.328003,0.444901,0.385781,0.503138,0.363171,0.413793,0.261905,0.243243,0.349206,0.405797,0.409639,0.45009,0.455436,0.663616,0.130178,0.076339,0.117657,0.324353,0.24734,0,1,0.598651,0.415652,0.370058,0.621983,0.426968,0.416526,0.013477,0.57674,0.410256,0.999999,0.623587,0.37931,0.217591,0.263553,0.436217,0.06623,0.045567,0.126771,0.349006,0.623611,0.109883,0.472939,0.276706,0.417644,0.387004,0.820346,0.426071,0.393521,0.282765,0.483787,0.466274,0.600341,0.38688,0.075048,0.24824,0.057274,0.317261,0.273352,0.086894,0.189252,0.089655,0.337465,0.157053,0.643964,0.432004,0.068782,0.542145,0.598066,0.750866,0.526521,0.130885,0.349541,0.682224,0.31071,499518.8009
1,0.622087,0.311637,0.359655,0.239056,0.412816,0.557711,0.125488,0.12069,0.380952,0.504505,0.873016,1,0.855422,0.578968,0.76349,0.835662,0.58935,0.296001,0.327644,0.319991,0.321594,0,1,0.383322,0.192203,0.313313,0.435095,0.162042,0.389947,0.010375,0.362972,0.487179,0.999999,0.437295,1,0.129798,0.287179,0.650519,0.03713,0.122901,0.460807,0.38141,0.731601,0.0402,0.51507,0.34528,0.188285,0.532508,0.408212,0.517202,0.788531,0.100347,0.176951,0.73917,0.535621,0.357414,0.318891,0.306569,0.201216,0.348933,0.451393,0.175934,0.158718,0.067034,0.214277,0.272631,0.518054,0.26815,0.058455,0.697045,0.444434,0.80326,0.679932,0.247798,0.380224,0.624589,0.358171,623742.166
1,0.80797,0.752908,0.861236,0.931492,0.252238,0.360155,0.176999,0.87931,0.904762,0.405405,0.825397,0.84058,0.807229,0.462734,0.337613,0.422064,0.233146,0.154181,0.333426,0.787221,0.180318,0.5,0.987952,0.573604,0.183676,0.751872,0.452657,0.185018,0.260935,0.003805,0.57674,1,0.888888,0.621263,0.87931,0.051616,0.577024,0.479643,0.009874,0.310154,0.204058,0.844882,0.545242,0.049084,0.347325,0.208631,0.209923,0.86879,0.803349,0.68677,0.877412,0.105155,0.537508,0.3555,0.595735,0.499289,0.165677,0.192604,0.276263,0.8221,0.220434,0.067174,0.255352,0.065983,0.218465,0.258006,0.484084,0.28441,0.056719,0.695635,0.424846,0.764077,0.681008,0.217293,0.837725,0.57281,0.234771,661798.5593
1,0.765147,0.352113,0.483008,0.758724,0.68864,0.688017,0.144859,0.689655,0.642857,0.801802,1,1,1,0.849566,0.785368,0.84144,0.30833,0.350226,0.432215,0.339105,0.565318,0,1,0.839083,0.122408,0.338072,0.378453,0.117155,0.770926,0.013477,0.186875,0.487179,0.999999,0.19295,1,0.134293,0.232061,0.83814,0.031109,0.172058,0.308115,0.454164,0.761295,0.038604,0.704266,0.231932,0.1571,0.532514,0.976183,0.6431,0.788793,0.118027,0.141409,0.770825,0.428752,0.256207,0.336504,0.209149,0.272121,0.397097,0.668266,0.441858,0.06526,0.134308,0.179804,0.209953,0.657283,0.254434,0.141321,0.808201,0.516426,0.933565,0.80615,0.246958,0.420889,0.810569,0.600599,1770000
0,0.411199,0.764687,0.751132,0.721737,0.191575,0.255488,0.227492,0.724138,0.904762,0.504505,0.777778,0.84058,0.855422,0.650632,0.836539,0.472704,0.759166,0.78096,0.505597,0.74692,0.138957,0.46875,0.987952,0.610933,0.309691,0.756404,0.866574,0.466333,0.19888,0.000829,0.50568,0.871795,0.999999,0.562131,0.844828,0.22404,0.616978,0.635744,0.069855,0.145071,0.765835,0.750823,0.565168,0.087469,0.252778,0.301387,0.358177,0.86879,0.888615,0.553138,0.878138,0.15111,0.510664,0.815184,0.304784,0.691957,0.790505,0.152059,0.122439,0.722823,0.360625,0.115578,0.312001,0.166294,0.280793,0.381471,0.414374,0.35854,0.166401,0.679621,0.384366,0.667801,0.669444,0.41393,0.747982,0.467785,0.187861,967010.0479
1,0.609034,0.050657,0.150205,0.145737,0.200716,0.177988,0.040809,0.275862,0.333333,0.504505,0.793651,0.884058,0.855422,0.452968,0.203574,0.532494,0.283978,0.30754,0.5634,0.064972,0.157852,0,1,0.579232,0.151946,0.045432,0.588933,0.110423,0.209014,0.003805,0.271159,0.205128,0.999999,0.268293,1,0.189788,0.277377,0.466598,0.055289,0.377898,0.329846,0.150715,0.692865,0.038628,0.198985,0.247519,0.167232,0.294677,0.70292,0.552936,0.937903,0.330336,0.154179,0.233295,0.704156,0.206312,0.326346,0.576276,0.450018,0.134063,0.199188,0.0373,0.404703,0.043979,0.151853,0.455079,0.307233,0.206918,0.038552,0.786517,0.251218,0.687597,0.775453,0.41987,0.163658,0.399341,0.134433,544815.3594
0,0.500878,0.448845,0.380754,0.312584,0.159761,0.404749,0.196836,0.327586,0.404762,0.315315,0.253968,0.289855,0.337349,0.720448,0.594505,0.322316,0.173743,0.082757,0.209581,0.400497,0.147787,0,1,0.235623,0.334944,0.446365,0.646495,0.489595,0.235948,0.003805,0.647643,0.384615,0.999999,0.686004,0.310345,0.611629,0.728203,0.709177,0.483157,0.201397,0.16426,0.403066,0.828849,0.081795,0.401009,0.383389,0.342284,0.339537,0.805667,0.595205,0.269986,0.196027,0.592482,0.626764,0.353153,0.81488,0.085063,0.2638,0.203592,0.385763,0.307195,0.049844,0.269479,0.013926,0.108568,0.341788,0.377022,0.136639,0.007838,0.823615,0.289904,0.79779,0.810281,0.338625,0.421833,0.511562,0.222367,254050.8755
1,0.673849,0.554244,0.565006,0.44105,0.141844,0.219347,0.04356,0.448276,0.404762,0.648649,0.253968,0.289855,0.325301,0.275864,0.243395,0.613431,0.33671,0.26716,0.35503,0.542904,0.082834,0,0.036145,0.429458,0.178482,0.541489,0.632638,0.137913,0.18079,0.024438,0.243928,0.461538,0.888888,0.243414,0.293103,0.288487,0.211296,0.264972,0.104973,0.219063,0.333702,0.575596,0.762979,0.045717,0.212528,0.355114,0.204426,0.452558,0.760958,0.674854,0.305355,0.33144,0.206536,0.237193,0.617924,0.309379,0.275693,0.470963,0.233568,0.550473,0.205048,0.021302,0.483691,0.016616,0.081324,0.592303,0.212179,0.115146,0.013649,0.87568,0.135339,0.680857,0.86816,0.595624,0.587671,0.317612,0.101274,323298.1273
1,0.616411,0.734507,0.740384,0.86377,0.21516,0.355283,0.16786,0.87931,0.809524,0.603604,0.825397,0.826087,0.903614,0.511081,0.248004,0.3671,0.126898,0.114051,0.238226,0.707665,0.164356,0.625,0.987952,0.442405,0.180558,0.725574,0.472679,0.22333,0.248136,0.003805,0.434413,0.871795,0.999999,0.49926,0.844828,0.081692,0.526306,0.502263,0.01869,0.239405,0.127096,0.762683,1,0.0539,0.30197,0.784283,0.209268,0.86879,0.788975,0.687159,0.877674,0.214375,0.533178,0.280852,0.511465,0.53108,0.118444,0.153373,0.287191,0.708513,0.186106,0.05821,0.258112,0.043342,0.159555,0.289148,0.449364,0.205217,0.036967,0.765034,0.371778,0.798137,0.750974,0.287034,0.733317,0.566006,0.232406,451642.6616
1,0.666498,0.782698,0.802275,0.52617,0.286534,0.430634,0.104206,0,0.761905,0.621622,0.428571,0.478261,0.361446,0.464244,0.476255,0.604713,0.184659,0.026402,0.033056,0.794857,0.207889,0.0625,0.915663,0.418182,0.208206,0.796194,0.632851,0.163398,0.363631,0.003805,0.434413,0.74359,0.888888,0.49969,0.482759,0.420527,0.270591,0.456579,0.209023,0.14261,0.166734,0.807053,0.713926,0.050804,0.424834,0.179541,0.233429,0.726365,0.29791,0.483049,0.477109,0.072941,0.345729,0.467066,0.243663,0.433849,0.035344,0.852284,0.18822,0.792017,0.261514,0.052832,0.240106,0.007333,0.060449,0.355379,0.355332,0.084371,0.004713,0.899652,0.245445,0.839961,0.892756,0.281599,0.809832,0.510101,0.250107,371150.7558
